text	label
"There are so many puns to play on the title of the spectacularly bad Valentine that I don't know where to begin. I will say this though; here is a movie that makes me long for the complexity of the Valentine cards we used to give out in elementary school. You know, the ones with Batman exclaiming ""You're a super crime-fighting valentine!""<br /><br />Valentine is a slasher movie without the slightest hint of irony, one of the few horror movies in recent years that ignores the influence of Scream. The villain is omniscient and nigh-invulnerable. The heroes are easily scared when people run around corners and grab them by the shoulders screaming ""HeyIjustleftmycoatbehind!"" The score is more overbearing than Norman Bates' mother.<br /><br />The flimsy plot follows several childhood friends, now grown up and extremely curvaceous. Since the film gives them nothing else to do, they stand around and wait until a masked stalker kills them one by one. This stalker appears to be former nerd Jeremy Melton, who was constantly rejected by women and beaten by men in high school. With Valentine's Day approaching, the women begin receiving scary cards foretelling their doom. Melton seems like the obvious suspect. Only problem is, as numerous characters warns, in thirteen years Melton could have changed his appearance to look buff and handsome. So (insert terrified gasp here) everyone is a suspect!<br /><br />Here's problem one. In order to have any sense of suspense while watching Valentine, you have to accept a reality in which a high school nerd is capable of becoming David Boreanaz. Nerds don't turn into Angel when they grown up, they turn into older, balder nerds. He's not a terrible actor, but the script, by no less than four writers, gives him and the rest of the cast nothing to do but scream and make out. Denise Richards (the bustiest actress in Hollywood never to star in Baywatch) is especially exploited; most shamefully in the blatant excuse to get her in a bathing suit just before a crucial suspense scene. Note to self: always bring a bathing suit to a Valentine's Day party. Just because it's February doesn't mean you might not feel like taking a little dip.<br /><br />The slasher in Valentine dresses in head-to-toe black with a Cherub's mask. Here's problem number two. The filmmakers clearly thought this would be a disturbing image to have on the head of someone who's whacking people in the face with hot irons. Plain and simple, it's not. Instead, it just made me wonder how a guy with a mask that covers his entire face, including his eyes and ears, can move so stealthily without bumping his shins on chairs or tables. Then again, given the things the Cupid Killer does, maybe he can teleport and his eyes are on his hands. <br /><br />Not only is the movie bad, it isn't even sure who the killer is; the final ""twist"" is more ""Huh?"" than ""Hah!"" When you're not scratching your head you're yawning, then groaning, then searching for the nearest exit. Do not watch this movie. Even if you're alone on Valentine's Day, find something, ANYTHING, else to do. You'll be glad you did."	0
I absolutely loved this movie. It met all expectations and went beyond that. I loved the humor and the way the movie wasn't just randomly silly. It also had a message. Jim Carrey makes me happy. :)	1
This is a film that everyone should watch. Quite apart from raising hugely important points (while South Africa is on the road to recovery there are still many countries in similar situations now), it is superbly directed while Denzel Washington gives, in my opinion, the best performance in his career so far. Kline also gives a good performance, although perhaps not as stunning as Washington's. John Thaw also puts in a good turn as the Chief of Police.<br /><br />There are so many possible areas where a film on apartheid could fall down, but all of these have been avoided. It would be easy to simply portray white people as the bad guys and black people as the good guys, but Attenborough has not done this. Sure, there were some white characters who seemed inherently evil, such as the Captain at the Soweto uprising, but to add extra dimensions to all the characters would make the film unbearably long. Some people complain about the length of the film as it is, but I think it needs the whole two and a half hours to tell the whole story, for it really is an incredible one.<br /><br />The best scene in the film is that of Steve Biko's funeral. When the whole crowd begins to sing the South African national anthem, it is probably one of, if not the most moving scenes I have seen.<br /><br />If you haven't seen this film already: watch it. It may not be comfortable viewing, but it's certainly worth it.	1
What a shame that a really competent director like Andre de Toth who specialized in slippery, shifting alliances didn't get hold of this concept first. He could have helped bring out the real potential, especially with the interesting character played by William Bishop. As the movie stands, it's pretty much of a mess (as asserted by reviewer Chipe). The main problems are with the direction, cheap budget, and poor script. The strength lies in an excellent cast and an interesting general concept-- characters pulled in different directions by conflicting forces. What was needed was someone with vision enough to pull together the positive elements by reworking the script into some kind of coherent whole, instead of the sprawling, awkward mess that it is, (try to figure out the motivations and interplay if you can). Also, a bigger budget could have matched up contrasting location and studio shots, and gotten the locations out of the all-too-obvious LA outskirts. The real shame lies in a waste of an excellent cast-- Hayden, Taylor (before his teeth were capped), Dehner, Reeves, along with James Millican and William Bishop shortly before their untimely deaths. Few films illustrate the importance of an auteur-with-vision more than this lowly obscure Western, which, in the right hands, could have been so much more.	0
This is about a mad scientist who creates a half shark - half man type critter on an uncharted island, then calls up all his old business and academic buddies to come and see his creation (evil laugh) but actually he wants his sharkman to kill them! Lots of bad GCI, goofy plot elements, and babes sweating in tight T-shirts follow.<br /><br />These monster movies all follow a similar formula, but this one spices things up with a bit of humor (I guarantee the folks who made this had tongues firmly planted in cheek), not to mention the sexy babes. But let's mention those sexy babes - several hot babes, in tight T-shirts, sweating profusely. One's in her undies at the beginning, another at the end. Thank you, thank you, makers of bad movies! The plot is full of goofy stuff, a guy drives up in a jeep, slams it right into a tree, then offers to fly everyone off the island in a helicopter. Yeah, um, well, how 'bout we think about that for a while; we'll get back to you. The sharkman is hilarious - either awful CGI or an equally comedic guy in a rubber suit. The mad scientist gives a pretty good performance; he's evil, that's his motivation, he makes no apologies.<br /><br />Overall, if you want a stupid, FUN B-movie, this one should do the job.	1
Loved this show...smart acting, smart dialog, great storyline with real people....please bring it back or make it available online...really miss it.. Hope Davis really shines in this show. I like the idea of SIX DEGREES... It really makes sense in this insane world. Rid yourself of those stupid reality shows and give this show a second chance Please bring it back Not to grovel..but please! When it went off the air, I watched in online and liked how I could watch it with minimal interruptions, in fact, online ABC makes it easy to enjoy shows when you miss them on prime time...gone are the days of endless taping. Anytime you want to bring it back, I am ready.	1
86 wasted minutes of my life. I fell asleep the first time I attempted watching it, and I must say I'm not one to ever fall asleep in the cinema.<br /><br />I have never seen such a pointless plot acted in such a stilted and forced manner, and can only surmise that the actors were as hard-up as the protagonist writer allegedly was in the film itself.<br /><br />Everything in this dire adaptation is overacted. And if it isn't the wooden acting, almost as though you can see the teleprompter, then the set itself, which is overlit and interfering in utterly unnecessary ways, and overdressed to an unimaginable extent, is enough to put you off the entire farce.<br /><br />As to the supposed shock of a detective under disguise, any person who does not see that - as well as the entire rest of this ludicrous plot - telegraphed light years in advance, should check their eyesight immediately.<br /><br />Bad acting, and from two very decent actors, coupled with the hyper-coddled Branagh trademark overdirection, is enough to make you want to use real bullets rather than blanks yourself.<br /><br />On top of it all, there is a completely risible undertone of homoerotica in this, heightened towards the end of it. All I can hope for is that this was such a flop that people shan't try to emulate this level of cinema ever again.	0
This is a way cool fantasy movie. One of my faves, it really is so cool. The director is Bernard Rose who went on to direct Candyman, he made a great start with this film.<br /><br />The film about a girl called Anna who falls ill with glandular fever on her 11th birthday. She draws a house on a shred of paper from her exercise book and falls into a dream in which the house is real. Each subsequent dream that she has is altered by the presence of whatever she adds to the picture. In her third dream she meets a boy she thinks she has created called Mark. She befriends him and their relationship becomes stronger as the dreams become darker and scarier.<br /><br />Charlotte Burke who plays Anna is a terrific actress and it is very strange that, after just one film, she should disappear and never be in anything ever again. She really does give a great performance in this film.<br /><br />Hans Zimmer's score is also ace. Much like Broken Arrow, the music is ghostly and mysterious. It's a real shame that the soundtrack is not available on CD anymore. The DVD is available in R2 only.	1
"Like his early masterpiece ""The Elephant Man"" Lynch proves to his detractors that he can tell a straight, simple story without losing his artistic touch. This is a true story of an elderly retired man (expertly played by Richard Farnsworth) who decides to ride a tractor across a few states to pay a final visit to his estranged brother who now stands at death's door. A beautiful score from Badalamenti, exquisite photography of rural life (love those aerial corn-field shots), and a sly director's hand that reveals man's basic humanity, this is a beautiful slice of life film. Its extremely slow pace may lull some viewers to sleep, but those who stay for along for the ride will be well rewarded in the end."	1
I found this movie to be very well-paced. The premise is quite imaginative, and as a viewer I was pulled along as the characters developed. The pacing is done very well for those that like to think--enough is kept hidden from the viewer early on, and questions keep arising which are later answered, producing a well-thought out and very satisfying film, both cerebrally and from an action standpoint.<br /><br />It seems some people were looking for a non-stop roller-coaster ride with this film--one of those that comes charging out of the gate. This would be more analogous to one of those coasters that first takes you slowly up the hill--creating a wonderful sense of anticipation--and is ultimately, in my mind, more fulfilling for the foundation initially laid.<br /><br />Excellent film.	1
Slow but beautifully-mounted story of the American revolution. Griffith's story-telling seems a lot less heavy-handed than in his earlier historical epics and his tableaux work is fully integrated into the action. Lionel Barrymore is an utter swine, Neil Hamilton is poor but dashing and Carol Dempster is.... well, Carol Dempster is most of what is wrong with Griffith in this period, but she doesn't show up often enough to slow the pace and drama.<br /><br />Note that the trivia for this movie says it came in originally at slightly more than 2 hours when first released, but that no cut exists that runs longer than 90 minutes. However, the dvd release has been presented at a slower fps rate that increases the tension and brings it back to a bit over two hours.<br /><br />Far better in terms of story-telling than sound versions, such as THE PATRIOT. While not quite in the league of Griffith's best, such as WAY DOWN EAST and BROKEN BLOSSOMS, an excellent way to spend a couple of hours.	1
This show is unbelievable in that . . . what it represents and what it focuses on and . . . words cannot describe how insane ET is. They will report anything. If a celebrity is even remotely indirectly connected to the story ET will report on it. If a dog poop in the Tom Cruise's yard they will report on it. If a celebrity dies . . . they will talk about it for weeks on end to the point where the public envy that celebrity. If a celebrity is on trial . . . ET will report it for MONTHS on end. There is no end to what this show will reports and no time frame that dictates how long they will focus on a story. Is it even considered legitimates reporting? The reports are so dang annoying too, with harsh rambling voices and end with an unnecessary pause to convey a sense of important. I cannot watch this show without questioning humanity's existence. ET is one big reason I avoid pre-evening shows in general. I regret that IMDb can only allow a minimum of one star rating and not zero or even in the negatives. For this show deserve -10 Stars.	0
i love this TV series so much. it contains animation that is interesting and beautiful. i cant believe that they cut it off TV, and also that i never found out whether cybersix and data7 die or not, apparently they survive, but I'm not sure. Cybersix was by far the BEST TV show ever. i know its to late to hope they will start the series over again so I'm really glad i got to watch it. I LUVED IT SO MUCH <3 <br /><br />its about a women by the name of cybersix, she is not human. She goes by adrian sieldman, a man teacher at a highschool. Now cybersix is actually a women, she is just disguised as a man in the day. By night cybersix patrols the city.<br /><br />A guy by the name of Von reichter is the one who created cybersix, and once he finds put she is alive he uses everything he can to capture her.<br /><br />IF u have never watched it before u should totally download it. It was the best TV show in the world. Why did they cut it off???? some people have issues. but I'm glad i got to watch the 13 episodes.	1
"The hysterical thing about this movie is that, according to the director, it has difficulty finding a distributor in the U.S. because most of them that viewed it couldn't reconcile the seemingly conflicting messages of Christianity and American angst. The thought of anyone seeing this as a religious film in anyway is laughable.<br /><br />Because a minister at a mission prays with the homeless or wishes someone ""Godspeed"" this makes it a ""Christian"" movie? One could interpret that it is actually mocking religion for in the ""Land of Plenty"" with all of its material excess, the best an organized mission can do is hand out a bowl of soup and a bible verse. Plenty of unfortunate or downtrodden maybe? Plenty of useless homeless missions? How about plenty of psycho Vietnam vets? As a pill-popping delusional survivor of agent ""pink"" are we to think America is a ""Land of Plenty"" of paranoid patriots? Maybe we have plenty of psychiatric patients? Certainly we don't have plenty of people concerned about Palestine politics based on the main characters phone conversation in the film. Of course if you worked in a German homeless shelter the unfortunate there would be much more concerned about peace in a distant land than their own personal survival as the world knows how Europe is the ""Continent of Plenty"" when it comes to sophistication.<br /><br />Indeed I agreed with the title in the end as the United States is the ""Land of Plenty"" and in this particular case it refers to the abundance of poor scripts, amateur acting and dispassionately directed films. Life is too short and one, even an American, doesn't have ""plenty"" of time to waste watching this piece."	0
"I got lured by the title... I was expecting an insightful and intriguing journey into alcoholism, instead I got a rather boring and uninspiring story about a rowdy Scot.<br /><br />The leading character isn't given much psychological depth, unless you are willing to classify cheesy teen-like poetry as psychology.<br /><br />It was a shame, because the core of the story could have been good, with a better effort to depict the inner feelings of a man who had to live with alcohol and violence since his youth.<br /><br />Sadly, the general idea seems to be more like ""I'm the way I am because that's the way I am"". And the laughingly bad attempt at giving some sort of poetic edge to a lower-class man makes things even worse. Resorting to the overused cliché of the ""poète maudit"" reeks of a quick fix, a cheap way to make a dull movie seem smart, artsy and meaningful.<br /><br />But ""16 years of alcohol"" isn't much smart, artsy or meaningful... The leading character doesn't evolve at all, and the feeble attempt of changing fails without a good explanation. Just like the initial attempt happened rather out of the blue.<br /><br />The movie borrows heavily from classics such as A Clockwork Orange and Trainspotting, but it ultimately fails to recapture their greatness, not even for a few seconds.<br /><br />Jobson put too much emphasis on the artistic side of the story, and neglected the rest, giving us a movie which is pleasant to the eye but insipid to the brain."	0
"This movie is a mess, but at least it's not pretentious. The box art for the video markets it as a ""fun throwback"" to 1950s giant bug movies. In reality, it's a transparent bargain basement ripoff of ""Aliens"".<br /><br />The producers clearly wanted to make an ""ALIEN"" picture, but they mustn't have had much money. In fact, it doesn't look like they had ANY money, really. I hope everyone got paid who worked on this thing.<br /><br />The basic plot is retained--group of people isolated with murderous insectoid creature--and an earthbound location is inserted for budgetary reasons, I presume. Instead of setting the film in space, where no one can hear you scream, they set the film in a hospital, where everyone can see your budget laid bare. The amusing thing about ""Blue Monkey"" (and there is only one thing amusing about it) is, the filmmakers didn't abandon the ""ALIEN"" aesthetics. Even though we're in a hospital, we still have an improbably cavernous annex where science fiction experiments are being conducted, in this case the venerable ""growth hormone"" plot device. The annex also doubles as a boiler room (or something), so we can have an explanation for the monster seeking out the warmth. The boiler room is so large that it is laced with multi-leveled steel catwalks, perfect for allowing slime to drip down between the slats.<br /><br />The idea is that a man working in a greenhouse is attacked by a drooping flower from a rare imported plant that grows in an exotic location. He touches it and says ""Ow"", so we know he's been hurt. The cut on his finger causes him to lapse into unconsciousness in a matter of minutes, and at the hospital he gives birth to a white worm through his mouth (I guess in an ""ALIEN"" picture this would be called the ""mouthburster""?). The worm is isolated, but some naughty little kids (leukemia patients) sneak up on it and ""accidentally"" give it some experimental growth hormone. You know everyone's in trouble when some fornicating hospital staff workers are attacked by a camera on a crane, and pretty soon a maintenance man finds some obligatory cocoons, right before he's grabbed by a pair of semi-convincing insectoid arms. The rest of the movie is dominated by the semi-offscreen monster, semi-obscured by the semi-darkness.<br /><br />Which brings us back to ""ALIEN"". How, you ask, can a movie set in a hospital incorporate all those flashing strobe lights that are always in the ""ALIEN"" movies? No problem...a power outage (or something) causes the electrical system to go awry, which apparently causes strobe lights to blossom in every room of the hospital and flicker constantly throughout the movie. This doubles as a convenient cloak for the less-than-special effects (although the bugs are pretty neat looking, they don't move too well, and the baby bug looks charmingly like a Cootie toy).<br /><br />OK, so what ""ALIEN"" bases haven't we covered...OH, water dripping down the walls! Check...we'll divide the massive hospital into two parts, then send some of the characters through the damp, drippy basement to get to the other side. Problem solved, we now have the opportunity for numerous ""foreboding tunnel"" shots. And don't forget the fog...well, you never really need an excuse for this in horror movies, do you? OK, maybe inside of a hospital you do, so we'll create smoke by having lots of things spark & burn.<br /><br />I haven't said anything about the negligible acting, not that the actors are given any kind of script to follow. I take it ""Blue Monkey"" was supposed to be lighthearted and fun, and if so then it is a nice try, but the pieces don't come together and the movie ends up being a real drag. See a film called ""Return of the Aliens: The Deadly Spawn"" if you want to see a film of this type that gets it right, with even less money and even more marginal acting talent. This one falls flat on its ALIEN."	0
"This movie features an o.k. score and a not bad performance by David Muir as Dr. Hackenstein. The beginning and end credits show along with the most of the actors and the ""special effects"" that this is a low budget movie. There is nothing in this movie that you could not find in other mad scientist, horror/comedy, or low budget movies. Not special for any nude scene buffs or bad movie lovers either. This movie is simply here. Anne Ramsey and Phillis Diller are nothing to get excited about as well. If you are curious as I was and can actually find this, you will realize the truth of the one line summary."	0
"That's what the title should be, anyway.<br /><br />This movie combines guns, explosives, and mindless killing to make one flop of an ""action"" movie. Let me make my point in a series of questions: answers type deal.<br /><br />What happens in the movie? People die.<br /><br />Is that it? Yes.<br /><br />What is the plot about? What plot?<br /><br />What is the point the movie is trying to make? Killing is the only solution.<br /><br />What are the characters like? Extremely flawed and contradictive toward their own personalities.<br /><br />Is there anything good about this movie? Yes. I'm sure they used some nice Panavision cameras in filming it.<br /><br />If you like constant killing and greed, then watch the movie. If you happen to be repulsed by such low-standard ""entertainment"", then ""Made Men"" is not for you.<br /><br />To sum it up, the plotline stinks, the characters aren't worth their while, the storyline is completely resistable, and nothing fits together.<br /><br />This proves one thing: the actors, directors, and whoever helped make this movie certainly aren't ""Made""."	0
